receiver,tackler
G.Olsen (CAR),P.Posluszny (JAC)
L.Fitzgerald (ARI),B.Browner (NO)
M.Crabtree (OAK),D.Kirkpatrick (CIN)
M.Crabtree (OAK),V.Rey (CIN)
K.Aiken (BAL),C.Harris (DEN)
J.Witten (DAL),L.Collins (NYG)
J.Jones (ATL),B.Maxwell (PHI)
D.Freeman (ATL),B.Maxwell (PHI)
D.Freeman (ATL),M.Jenkins (PHI)
J.Maclin (KC),C.Harris (DEN)
D.Thomas (DEN),M.Peters (KC)
B.Cooks (NO),L.David (TB)
D.Woodhead (SD),D.Kirkpatrick (CIN)
J.Jones (ATL),L.Collins (NYG)
J.Landry (MIA),A.Colvin (JAC)
J.Landry (MIA),D.House (JAC)
J.Landry (MIA),T.Smith (JAC)
J.Landry (MIA),P.Posluszny (JAC)
J.Witten (DAL),B.Maxwell (PHI)
O.Beckham (NYG),D.Goldson (WAS)
J.Reed (WAS),L.Collins (NYG)
G.Olsen (CAR),B.Browner (NO)
B.Marshall (NYJ),B.Maxwell (PHI)
B.Marshall (NYJ),M.Jenkins (PHI)
A.Brown (PIT),T.Johnson (STL)
J.Landry (MIA),C.Graham (BUF)
G.Tate (DET),C.Harris (DEN)
O.Beckham (NYG),C.Graham (BUF)
J.Reed (WAS),M.Jenkins (PHI)
J.Maclin (KC),D.Kirkpatrick (CIN)
J.Maclin (KC),V.Rey (CIN)
T.Kelce (KC),V.Rey (CIN)
L.Fitzgerald (ARI),T.Johnson (STL)
J.Witten (DAL),B.Browner (NO)
J.Jones (ATL),D.Goldson (WAS)
G.Tate (DET),D.Bucannon (ARI)
T.Riddick (DET),D.Bucannon (ARI)
D.Thomas (DEN),D.Hayden (OAK)
M.Crabtree (OAK),C.Harris (DEN)
B.Marshall (NYJ),D.Goldson (WAS)
O.Beckham (NYG),B.Maxwell (PHI)
O.Beckham (NYG),M.Jenkins (PHI)
J.Matthews (PHI),L.Collins (NYG)
J.Reed (WAS),L.David (TB)
A.Brown (PIT),M.Peters (KC)
D.Woodhead (SD),D.Hayden (OAK)
G.Olsen (CAR),B.Maxwell (PHI)
J.Matthews (PHI),L.Kuechly (CAR)
A.Brown (PIT),D.Kirkpatrick (CIN)
A.Brown (PIT),V.Rey (CIN)
B.Marshall (NYJ),D.Hayden (OAK)
B.Marshall (NYJ),D.House (JAC)
A.Brown (PIT),D.Hayden (OAK)
J.Witten (DAL),M.Jenkins (PHI)
J.Witten (DAL),L.David (TB)
B.Cooks (NO),D.Goldson (WAS)
J.Landry (MIA),M.Jenkins (PHI)
K.Aiken (BAL),T.Smith (JAC)
K.Aiken (BAL),A.Colvin (JAC)
K.Aiken (BAL),D.House (JAC)
G.Tate (DET),D.Hayden (OAK)
G.Tate (DET),M.Smith (OAK)
T.Riddick (DET),D.Hayden (OAK)
T.Riddick (DET),M.Smith (OAK)
K.Aiken (BAL),T.Johnson (STL)
J.Reed (WAS),L.Kuechly (CAR)
L.Fitzgerald (ARI),V.Rey (CIN)
T.Riddick (DET),B.Maxwell (PHI)
G.Tate (DET),B.Maxwell (PHI)
G.Tate (DET),M.Jenkins (PHI)
J.Witten (DAL),L.Kuechly (CAR)
T.Kelce (KC),C.Graham (BUF)
J.Maclin (KC),C.Graham (BUF)
D.Woodhead (SD),T.Smith (JAC)
D.Woodhead (SD),D.House (JAC)
D.Woodhead (SD),P.Posluszny (JAC)
B.Marshall (NYJ),L.Collins (NYG)
D.Freeman (ATL),L.David (TB)
J.Maclin (KC),M.Smith (OAK)
M.Crabtree (OAK),M.Peters (KC)
D.Woodhead (SD),C.Harris (DEN)
B.Cooks (NO),L.Kuechly (CAR)
T.Riddick (DET),T.Johnson (STL)
J.Jones (ATL),L.Kuechly (CAR)
J.Landry (MIA),L.Collins (NYG)
G.Olsen (CAR),L.Collins (NYG)
O.Beckham (NYG),L.Kuechly (CAR)
K.Aiken (BAL),M.Peters (KC)
J.Jones (ATL),P.Posluszny (JAC)
D.Freeman (ATL),P.Posluszny (JAC)
D.Freeman (ATL),T.Smith (JAC)
D.Freeman (ATL),D.House (JAC)
J.Jones (ATL),D.House (JAC)
J.Jones (ATL),T.Smith (JAC)
A.Brown (PIT),C.Harris (DEN)
J.Matthews (PHI),D.Bucannon (ARI)
L.Fitzgerald (ARI),B.Maxwell (PHI)
L.Fitzgerald (ARI),M.Jenkins (PHI)
G.Tate (DET),B.Browner (NO)
T.Riddick (DET),B.Browner (NO)
D.Woodhead (SD),M.Smith (OAK)
J.Matthews (PHI),D.Goldson (WAS)
D.Freeman (ATL),L.Kuechly (CAR)
D.Thomas (DEN),D.Kirkpatrick (CIN)
D.Freeman (ATL),B.Browner (NO)
J.Jones (ATL),B.Browner (NO)
K.Aiken (BAL),D.Kirkpatrick (CIN)
T.Kelce (KC),M.Smith (OAK)